,loss,dice,accuracy,mean_io_u
32,0.06315333396196365,0.977181077003479,0.9879646301269531,0.25
33,0.06250686943531036,0.9760052561759949,0.9879646301269531,0.25
34,0.06257544457912445,0.9742509126663208,0.9879646301269531,0.25
35,0.06214802712202072,0.9754344820976257,0.9879646301269531,0.25
36,0.06252496689558029,0.9777207374572754,0.9879646301269531,0.25
37,0.06259877234697342,0.9754055738449097,0.9879646301269531,0.25
38,0.06331939995288849,0.9761046171188354,0.9879646301269531,0.25
39,0.061652444303035736,0.9758204221725464,0.9879646301269531,0.25
40,0.061710089445114136,0.9747952222824097,0.9879646301269531,0.25
41,0.06243196129798889,0.9766116142272949,0.9879646301269531,0.25
42,0.06141902878880501,0.97722327709198,0.9879646301269531,0.25
43,0.05950307101011276,0.9730372428894043,0.9879646301269531,0.25
44,0.06688252836465836,0.9800952672958374,0.9879646301269531,0.25
45,0.05805766582489014,0.9761412739753723,0.9879646301269531,0.25
46,0.06593059748411179,0.9713320732116699,0.9874603152275085,0.25
47,0.06139763444662094,0.975482165813446,0.9879646301269531,0.25
48,0.06155853345990181,0.9737499952316284,0.9879646301269531,0.25
49,0.060773395001888275,0.9750629663467407,0.9879646301269531,0.25
50,0.056982021778821945,0.9748290181159973,0.9879646301269531,0.25
51,0.056799620389938354,0.9734137654304504,0.9861976504325867,0.25
52,0.05705362558364868,0.9811546206474304,0.9879661798477173,0.25
53,0.053793806582689285,0.9786884188652039,0.9880157709121704,0.25
54,0.05086800456047058,0.9750426411628723,0.9881637692451477,0.25
55,0.05063344165682793,0.9763209223747253,0.9876983761787415,0.25
56,0.0499650239944458,0.980185329914093,0.9882652163505554,0.25
57,0.053276728838682175,0.9814248085021973,0.9880126714706421,0.25
58,0.052508942782878876,0.9745882749557495,0.9865509271621704,0.25
59,0.05655773729085922,0.9802650213241577,0.9879646301269531,0.25
60,0.05387965589761734,0.9785178303718567,0.9879646301269531,0.25
61,0.05298544093966484,0.9761075973510742,0.9879646301269531,0.25
62,0.050903089344501495,0.976418673992157,0.9884926080703735,0.25
63,0.05038871243596077,0.9780412912368774,0.9879722595214844,0.25
64,0.04941414296627045,0.9800137281417847,0.988477349281311,0.25
65,0.05109395459294319,0.981167197227478,0.9881927371025085,0.25
66,0.04982674866914749,0.9769183993339539,0.9880401492118835,0.25
67,0.04945383593440056,0.9791942834854126,0.9886490106582642,0.25
68,0.04845454916357994,0.9793438911437988,0.9886482357978821,0.25
69,0.04905940219759941,0.9789749979972839,0.988140881061554,0.25
70,0.05134502053260803,0.9812667965888977,0.9880874752998352,0.25
71,0.05037323385477066,0.9743873476982117,0.9879295229911804,0.25
72,0.049467869102954865,0.9786105155944824,0.9885803461074829,0.25
73,0.04847943037748337,0.9802206158638,0.9887787103652954,0.25
74,0.04826410859823227,0.9803180694580078,0.9885284304618835,0.25
75,0.04973677545785904,0.9817119836807251,0.9884811639785767,0.25
76,0.04698118194937706,0.9789426922798157,0.9894737005233765,0.25
77,0.06188133358955383,0.9704602956771851,0.9791733026504517,0.25
78,0.06577982008457184,0.9831172823905945,0.9879646301269531,0.25
79,0.06520790606737137,0.978376030921936,0.9879646301269531,0.25
80,0.06120290234684944,0.9745630025863647,0.9879646301269531,0.25
81,0.06064723804593086,0.9755867123603821,0.9879646301269531,0.25
82,0.060727059841156006,0.9747417569160461,0.9879646301269531,0.25
83,0.060614101588726044,0.9748400449752808,0.9879646301269531,0.25
84,0.06079557538032532,0.975380539894104,0.9879646301269531,0.25
85,0.06039034202694893,0.975066065788269,0.9879646301269531,0.25
86,0.06038631126284599,0.976098358631134,0.9879646301269531,0.25
87,0.060858793556690216,0.977807879447937,0.9879646301269531,0.25
88,0.06098907068371773,0.9784032702445984,0.9879646301269531,0.25
89,0.060213275253772736,0.9760788083076477,0.9879646301269531,0.25
90,0.06133691221475601,0.9717262983322144,0.9879646301269531,0.25
91,0.06123588606715202,0.9766109585762024,0.9879646301269531,0.25
92,0.061018217355012894,0.9793373942375183,0.9879646301269531,0.25
93,0.060927003622055054,0.9757097363471985,0.9879646301269531,0.25
94,0.06101548671722412,0.9744116067886353,0.9879646301269531,0.25
95,0.06035684421658516,0.9749817848205566,0.9879646301269531,0.25
96,0.059576135128736496,0.9750822186470032,0.9879646301269531,0.25
97,0.06067394092679024,0.9781435132026672,0.9879646301269531,0.25
98,0.05930304527282715,0.9775981903076172,0.9879646301269531,0.25
99,0.059904687106609344,0.9732555150985718,0.9879646301269531,0.25
100,0.05904688686132431,0.9749929308891296,0.9879646301269531,0.25
101,0.05886039882898331,0.9772574305534363,0.9879646301269531,0.25
102,0.05956372618675232,0.9748842120170593,0.9879646301269531,0.25
103,0.05821540206670761,0.9758583903312683,0.9879646301269531,0.25
104,0.05890341475605965,0.9781649708747864,0.9879646301269531,0.25
105,0.05828510597348213,0.9760928153991699,0.9879646301269531,0.25
106,0.05778691917657852,0.975943922996521,0.9879646301269531,0.25
107,0.060142867267131805,0.9800513982772827,0.9879646301269531,0.25
108,0.05930299684405327,0.97345370054245,0.9879646301269531,0.25
109,0.06026152893900871,0.9755905270576477,0.9879646301269531,0.25
110,0.05812562629580498,0.9811827540397644,0.9879646301269531,0.25
111,0.056711602956056595,0.974113941192627,0.9879646301269531,0.25
112,0.05716608092188835,0.9764545559883118,0.9879646301269531,0.25
113,0.05574280768632889,0.9738775491714478,0.9879646301269531,0.25
114,0.0578315332531929,0.9804692268371582,0.9879654049873352,0.25
115,0.054488200694322586,0.9773135185241699,0.9879661798477173,0.25
116,0.05640460178256035,0.9812148809432983,0.9879668951034546,0.25
117,0.0546884723007679,0.9712525606155396,0.9879242181777954,0.25
118,0.05621106177568436,0.9816872477531433,0.9879692196846008,0.25
119,0.056547485291957855,0.9703472852706909,0.9879005551338196,0.25
120,0.053714267909526825,0.9794708490371704,0.9879531860351562,0.25
121,0.05240851640701294,0.9833728671073914,0.9879714846611023,0.25
122,0.05637125298380852,0.9695591926574707,0.9879051446914673,0.25
123,0.053078681230545044,0.9790431261062622,0.9879592657089233,0.25
124,0.05232403427362442,0.9831735491752625,0.9880310297012329,0.25
125,0.057595737278461456,0.9649036526679993,0.9876915216445923,0.25
126,0.058310337364673615,0.9839954376220703,0.9879738092422485,0.25
127,0.05540803074836731,0.9787986874580383,0.9879570007324219,0.25
128,0.04738447070121765,0.9787250757217407,0.9879654049873352,0.25
129,0.05053852126002312,0.9834500551223755,0.9879821538925171,0.25
130,0.057017408311367035,0.9665291905403137,0.9872848391532898,0.25
131,0.06146962568163872,0.976455569267273,0.9878570437431335,0.25
132,0.05316926911473274,0.978919506072998,0.9878921508789062,0.25
133,0.049076445400714874,0.9822742342948914,0.9880142211914062,0.25
134,0.045751817524433136,0.9803031086921692,0.9880897402763367,0.25
135,0.046230703592300415,0.9805121421813965,0.9882568120956421,0.25
136,0.047837089747190475,0.9726425409317017,0.988067626953125,0.25
137,0.04530742019414902,0.9824471473693848,0.9883720278739929,0.2500009536743164
138,0.04294956848025322,0.9807934761047363,0.9887741208076477,0.25
139,0.04167788475751877,0.9819276928901672,0.9893295168876648,0.25
140,0.04114937037229538,0.9803420901298523,0.9895035028457642,0.25
141,0.040715839713811874,0.98338782787323,0.9899498224258423,0.25
142,0.04125433415174484,0.9782107472419739,0.9901321530342102,0.25
143,0.04528199881315231,0.9858959317207336,0.9883949160575867,0.2500014305114746
